Codice;Sigla;Descrizione Prodotto;Listino Febbraio 2026 Euro cad.;
A3B8W;BM417810;INTERR. AUTOMATICO 3 POLI+N - 10A/ 4,5kA curva C 4 moduli; 	41,77 ;
A3B8X;BM417816;INTERR. AUTOMATICO 3 POLI+N - 16A/ 4,5kA curva C 4 moduli; 	41,77 ;
A3B8Y;BM417820;INTERR. AUTOMATICO 3 POLI+N - 20A/ 4,5kA curva C 4 moduli; 	41,77 ;
A3B8Z;BM417825;INTERR. AUTOMATICO 3 POLI+N - 25A/ 4,5kA curva C 4 moduli; 	41,77 ;
A3B91;BM417832;INTERR. AUTOMATICO 3 POLI+N - 32A/ 4,5kA curva C 4 moduli; 	41,77 ;
A3B92;BM417840;INTERR. AUTOMATICO 3 POLI+N - 40A/ 4,5kA curva C 4 moduli; 	41,77 ;
A3B93;BM417850;INTERR. AUTOMATICO 3 POLI+N - 50A/ 4,5kA curva C 4 moduli; 	78,30 ;
A3B94;BM417863;INTERR. AUTOMATICO 3 POLI+N - 63A/ 4,5kA curva C 4 moduli; 	78,30 ;
Interruttori Automatici Magnetotermici 6kA - curva B - 1 Polo - Serie BMS6;;;;
A3B9M;BM618106;INTERR. AUTOMATICO 1 POLO -  6A/ 6kA curva B 1mod.; 	10,29 ;
A3B9N;BM618110;INTERR. AUTOMATICO 1 POLO - 10A/ 6kA curva B 1mod.; 	8,38 ;
A3B9P;BM618116;INTERR. AUTOMATICO 1 POLO - 16A/ 6kA curva B 1mod.; 	8,38 ;
A3B9Q;BM618120;INTERR. AUTOMATICO 1 POLO - 20A/ 6kA curva B 1mod.; 	9,73 ;
A3B9R;BM618125;INTERR. AUTOMATICO 1 POLO - 25A/ 6kA curva B 1mod.; 	10,29 ;
A3B9S;BM618132;INTERR. AUTOMATICO 1 POLO - 32A/ 6kA curva B 1mod.; 	10,69 ;
A3B9T;BM618140;INTERR. AUTOMATICO 1 POLO - 40A/ 6kA curva B 1mod.; 	11,44 ;
A3B9U;BM618150;INTERR. AUTOMATICO 1 POLO - 50A/ 6kA curva B 1mod.; 	18,77 ;
A3B9V;BM618163;INTERR. AUTOMATICO 1 POLO - 63A/ 6kA curva B 1mod.; 	18,77 ;
Interruttori Automatici Magnetotermici 6kA - curva B - 2 Poli - Serie BMS6;;;;
A3BAK;BM618206;INTERR. AUTOMATICO 2 POLI -  6A/ 6kA curva B 2 moduli; 	23,13 ;
A3BAL;BM618210;INTERR. AUTOMATICO 2 POLI - 10A/ 6kA curva B 2 moduli; 	22,33 ;
A3BAM;BM618216;INTERR. AUTOMATICO 2 POLI - 16A/ 6kA curva B 2 moduli; 	22,33 ;
A3BAN;BM618220;INTERR. AUTOMATICO 2 POLI - 20A/ 6kA curva B 2 moduli; 	22,33 ;
A3BAP;BM618225;INTERR. AUTOMATICO 2 POLI - 25A/ 6kA curva B 2 moduli; 	24,04 ;
A3BAQ;BM618232;INTERR. AUTOMATICO 2 POLI - 32A/ 6kA curva B 2 moduli; 	24,04 ;
A3BAR;BM618240;INTERR. AUTOMATICO 2 POLI - 40A/ 6kA curva B 2 moduli; 	24,04 ;
Interruttori Automatici Magnetotermici 6kA - curva B - 3 Poli - Serie BMS6;;;;
A3BBD;BM618306;INTERR. AUTOMATICO 3 POLI -  6A/ 6kA curva B 3 moduli; 	34,93 ;
A3BBE;BM618310;INTERR. AUTOMATICO 3 POLI - 10A/ 6kA curva B 3 moduli; 	34,93 ;
A3BBF;BM618316;INTERR. AUTOMATICO 3 POLI - 16A/ 6kA curva B 3 moduli; 	34,93 ;
A3BBG;BM618320;INTERR. AUTOMATICO 3 POLI - 20A/ 6kA curva B 3 moduli; 	34,93 ;
A3BBH;BM618325;INTERR. AUTOMATICO 3 POLI - 25A/ 6kA curva B 3 moduli; 	35,98 ;
A3BBJ;BM618332;INTERR. AUTOMATICO 3 POLI - 32A/ 6kA curva B 3 moduli; 	35,98 ;
A3BBK;BM618340;INTERR. AUTOMATICO 3 POLI - 40A/ 6kA curva B 3 moduli; 	38,59 ;
A3BBL;BM618350;INTERR. AUTOMATICO 3 POLI - 50A/ 6kA curva B 3 moduli; 	67,45 ;
A3BBM;BM618363;INTERR. AUTOMATICO 3 POLI - 63A/ 6kA curva B 3 moduli; 	67,45 ;
Interruttori Automatici Magnetotermici 6kA - curva B - 4 Poli - Serie BMS6;;;;
A3BC8;BM618406;INTERR. AUTOMATICO 4 POLI -  6A/ 6kA curva B 4 moduli; 	46,27 ;
A3BC9;BM618410;INTERR. AUTOMATICO 4 POLI - 10A/ 6kA curva B 4 moduli; 	45,56 ;
A3BCA;BM618416ME;INTERR. AUTOMATICO 4 POLI - 16A/ 6kA curva B 4 moduli; 	47,57 ;
A3BCB;BM618420;INTERR. AUTOMATICO 4 POLI - 20A/ 6kA curva B 4 moduli; 	45,56 ;
A3BCC;BM618425;INTERR. AUTOMATICO 4 POLI - 25A/ 6kA curva B 4 moduli; 	48,37 ;
A3BCD;BM618432ME;INTERR. AUTOMATICO 4 POLI - 32A/ 6kA curva B 4 moduli; 	50,50 ;
A3BCE;BM618440;INTERR. AUTOMATICO 4 POLI - 40A/ 6kA curva B 4 moduli; 	48,37 ;
A3BCF;BM618450;INTERR. AUTOMATICO 4 POLI - 50A/ 6kA curva B 4 moduli; 	93,14 ;
A3BCG;BM618463;INTERR. AUTOMATICO 4 POLI - 63A/ 6kA curva B 4 moduli; 	93,14 ;
Interruttori Automatici Magnetotermici 6kA - curva C - 1 Polo - Serie BMS6;;;;
A3BD4;BM6171005;INTERR. AUTOMATICO 1 POLO -  0,5A/ 6kA curva C 1mod.; 	35,84 ;
A3BD5;BM617101;INTERR. AUTOMATICO 1 POLO -  1A/ 6kA curva C 1mod.; 	18,90 ;
A3BD6;BM617102;INTERR. AUTOMATICO 1 POLO -  2A/ 6kA curva C 1mod.; 	17,02 ;
A3BD7;BM617103;INTERR. AUTOMATICO 1 POLO -  3A/ 6kA curva C 1mod.; 	17,02 ;
A3BD8;BM617104;INTERR. AUTOMATICO 1 POLO -  4A/ 6kA curva C 1mod.; 	17,02 ;
A3BD9;BM617106;INTERR. AUTOMATICO 1 POLO -  6A/ 6kA curva C 1mod.; 	10,16 ;
A3BDA;BM617110;INTERR. AUTOMATICO 1 POLO - 10A/ 6kA curva C 1mod.; 	9,52 ;
A3BDB;BM617116;INTERR. AUTOMATICO 1 POLO - 16A/ 6kA curva C 1mod.; 	9,52 ;
A3BDC;BM617120;INTERR. AUTOMATICO 1 POLO - 20A/ 6kA curva C 1mod.; 	9,66 ;
A3BDD;BM617125;INTERR. AUTOMATICO 1 POLO - 25A/ 6kA curva C 1mod.; 	10,16 ;
A3BDE;BM617132;INTERR. AUTOMATICO 1 POLO - 32A/ 6kA curva C 1mod.; 	10,54 ;
A3BDF;BM617140;INTERR. AUTOMATICO 1 POLO - 40A/ 6kA curva C 1mod.; 	11,31 ;
A3BDG;BM617150;INTERR. AUTOMATICO 1 POLO - 50A/ 6kA curva C 1mod.; 	18,53 ;
A3BDH;BM617163;INTERR. AUTOMATICO 1 POLO - 63A/ 6kA curva C 1mod.; 	18,53 ;
Interruttori Automatici Magnetotermici 6kA - curva C - 1 Polo+N - Serie BMS6;;;;
A3BEA;BM617602;INTERR. AUTOMATICO 1 POLO + N -  2A/ 6kA curva C 2 moduli; 	33,44 ;
